ID_Pelanggan,Nama_Pelanggan,Alamat,Kota,Provinsi,Daya_Listrik,Meter_Awal,Meter_Akhir,Pemakaian_kWh,Tarif_per_kWh,Total_Tagihan,Bulan,Tahun,Status_Pembayaran,Tanggal_Tagihan,Tanggal_Pembayaran,Tanggal_Jatuh_Tempo,Denda,Total_Bayar,Metode_Pembayaran,Tarif_Key
PLN100001,Sari Santoso,Jl. Raya Tangerang No.229,Tangerang,Banten,900 VA (subsidi),389174,389323,149,605.0,90145,July,2023,Belum Bayar,2023-07-22,BELUM BAYAR,2023-08-11,1802,91947,BELUM BAYAR,900_subsidi
PLN100002,Ika Setiawan,Jl. Raya Surabaya No.224,Surabaya,Jawa Timur,900 VA (subsidi),105137,105248,111,605.0,67155,February,2023,Lunas,2023-02-18,2023-05-03 00:00:00,2023-03-10,5000,72155,Mobile Banking,900_subsidi
PLN100003,Tono Wahyuni,Jl. Raya Semarang No.778,Semarang,Jawa Tengah,2200 VA,146287,146684,397,1444.7,573546,April,2025,Lunas,2025-04-11,2025-06-14 00:00:00,2025-05-01,11470,585016,Transfer Bank,2200
PLN100004,Andi Setiawan,Jl. Raya Bogor No.619,Bogor,Jawa Barat,900 VA (subsidi),241659,241870,211,605.0,127655,March,2023,Lunas,2023-03-24,2023-06-01 00:00:00,2023-04-13,5000,132655,Transfer Bank,900_subsidi
PLN100005,Fajar Putri,Jl. Raya Bandar Lampung No.592,Bandar Lampung,Lampung,900 VA (subsidi),347587,347692,105,605.0,63525,May,2023,Lunas,2023-05-02,2023-05-04 00:00:00,2023-05-22,0,63525,E-Wallet,900_subsidi
PLN100006,Fitri Lestari,Jl. Raya Bogor No.465,Bogor,Jawa Barat,1300 VA,194817,195081,264,1444.7,381401,December,2024,Lunas,2024-12-06,2024-12-08 00:00:00,2024-12-26,0,381401,Alfamart,1300
PLN100007,Rudi Saputra,Jl. Raya Tangerang No.474,Tangerang,Banten,900 VA (non-subsidi),359721,359935,214,1352.0,289328,December,2025,Lunas,2025-12-08,2026-01-05 00:00:00,2025-12-28,5786,295114,Mobile Banking,900_nonsubsidi
PLN100008,Siti Kurniawan,Jl. Raya Badung No.68,Badung,Bali,900 VA (subsidi),344472,344638,166,605.0,100430,September,2024,Lunas,2024-09-07,2024-12-19 00:00:00,2024-09-27,5000,105430,Indomaret,900_subsidi
PLN100009,Dewi Putri,Jl. Raya Bogor No.765,Bogor,Jawa Barat,1300 VA,115758,115987,229,1444.7,330836,February,2025,Belum Bayar,2025-02-12,BELUM BAYAR,2025-03-04,13233,344069,BELUM BAYAR,1300
PLN100010,Rizky Agustina,Jl. Raya Bandung No.882,Bandung,Jawa Barat,900 VA (subsidi),357616,357768,152,605.0,91960,November,2023,Lunas,2023-11-26,2023-12-08 00:00:00,2023-12-16,0,91960,Alfamart,900_subsidi
